rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR,b,2,g8f6,-4,g8f6,-17
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR,w,3,c1g5,-17,c1f4,-15
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR,b,3,c7c5,-15,c8f5,10
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/2N5/PPP1PPPP/R2QKBNR,w,4,g1f3,10,c3b5,-5
rn1qkb1r/ppp1pppp/5n2/1N1p1b2/3P1B2/8/PPP1PPPP/R2QKBNR,b,4,b8a6,-5,b8a6,-6
r2qkb1r/ppp1pppp/n4n2/1N1p1b2/3P1B2/8/PPP1PPPP/R2QKBNR,w,5,a2a3,-6,e2e3,-27
r2qkb1r/ppp1pppp/n4n2/1N1p1b2/3P1B2/4P3/PPP2PPP/R2QKBNR,b,5,e7e6,-27,c7c6,0
r2qkb1r/pp2pppp/n1p2n2/1N1p1b2/3P1B2/4P3/PPP2PPP/R2QKBNR,w,6,b5c3,0,b5c3,0
r2qkb1r/pp2pppp/n1p2n2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2QKBNR,b,6,a6b8,0,e7e6,-10
r2qkb1r/pp3ppp/n1p1pn2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2QKBNR,w,7,a2a3,-10,g1f3,0
r2qkb1r/pp3ppp/n1p1pn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R,b,7,d8b6,0,f8d6,64
r2qk2r/pp3ppp/n1pbpn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R,w,8,f3e5,64,f4d6,56
r2qk2r/pp3ppp/n1pBpn2/3p1b2/3P4/2N1PN2/PPP2PPP/R2QKB1R,b,8,d8d6,56,d8d6,53
