fen,b_or_w,stck_move,stck_eval,my_move,my_eval,diff_eval,counter
r2qkb1r/1ppb1ppp/p1n1pn2/1B1p4/3P1B2/2N1PN2/PPP2PPP/R2QK2R,w,b5d3,18.0,b5a4,-34.0,52.0,1
r2qkb1r/2pb1ppp/p3p3/1p1p4/3PnB2/1PN1PN2/PP3PPP/R2QK2R,b,f8d6,-20.0,f8b4,16.0,36.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1Pn1PN2/PP3PPP/R2Q1RK1,w,b2c3,-72.0,b2c3,-112.0,40.0,1
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,w,c2c4,60.0,f1b5,17.0,43.0,1
r2qkb1r/2pb1ppp/p1n1pn2/1p1p4/B2P1B2/2N1PN2/PPP2PPP/R2QK2R,w,a4b3,-18.0,a4b3,-36.0,18.0,1
r2qkb1r/2pb1ppp/p3pn2/1p1p4/3P1B2/1n2PN2/PPP1NPPP/R2QK2R,w,a2b3,-2.0,c2b3,-18.0,16.0,1
r2qkb1r/2pb1ppp/p3pn2/np1p4/3P1B2/1BN1PN2/PPP2PPP/R2QK2R,w,c3e2,-25.0,c3e2,-29.0,4.0,1
r2qkb1r/2pb1ppp/p3p3/1p1p4/3PnB2/1P2PN2/PP2NPPP/R2QK2R,w,e1g1,28.0,e2c3,-20.0,48.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1PnB2/1PN1PN2/PP3PPP/R2QK2R,w,a2a3,16.0,e1g1,-102.0,118.0,1
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,w,e2e3,46.0,e2e3,36.0,10.0,1
r2qkb1r/2pb1ppp/p3pn2/1p1p4/3P1B2/1P2PN2/PP2NPPP/R2QK2R,b,c7c5,-18.0,f6e4,28.0,46.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1PnB2/1PN1PN2/PP3PPP/R2Q1RK1,b,e4c3,-102.0,e4c3,-72.0,30.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1P2PN2/P4PPP/2RQ1RK1,w,c1c7,86.0,d1d3,-55.0,141.0,1
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,b,g8f6,31.0,g8f6,46.0,15.0,1
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,b,f6h5,36.0,e7e6,60.0,24.0,1
r2qkb1r/pppb1ppp/2n1pn2/1B1p4/3P1B2/4PN2/PPP2PPP/RN1QK2R,w,c2c3,63.0,b1c3,26.0,37.0,1
r2qkb1r/1ppb1ppp/p1n1pn2/3p4/B2P1B2/2N1PN2/PPP2PPP/R2QK2R,b,b7b5,-34.0,b7b5,-18.0,16.0,1
2rqk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1P1QPN2/P4PPP/2R2RK1,w,f3e1,-36.0,c1a1,-153.0,117.0,1
r1bqkb1r/ppp2ppp/2n1pn2/1B1p4/3P1B2/4PN2/PPP2PPP/RN1QK2R,b,f8d6,17.0,c8d7,63.0,46.0,1
r2qkb1r/pppb1ppp/2n1pn2/1B1p4/3P1B2/2N1PN2/PPP2PPP/R2QK2R,b,a7a6,26.0,a7a6,18.0,-8.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/3P1B2/1Pb1PN2/P4PPP/R2Q1RK1,w,a1c1,-113.0,a1c1,-123.0,10.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1PP1PN2/P4PPP/R2Q1RK1,b,b4c3,-112.0,b4c3,-113.0,-1.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/3P1B2/1Pb1PN2/P4PPP/2RQ1RK1,b,b5b4,-123.0,c3b4,86.0,209.0,1
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1P1QPN2/P4PPP/2R2RK1,b,a8c8,-55.0,a8c8,-36.0,19.0,1
r2qkb1r/2pb1ppp/p1n1pn2/1p1p4/3P1B2/1BN1PN2/PPP2PPP/R2QK2R,b,f8b4,-36.0,c6a5,-25.0,11.0,1
r2qkb1r/2pb1ppp/p3pn2/np1p4/3P1B2/1B2PN2/PPP1NPPP/R2QK2R,b,c7c5,-29.0,a5b3,-2.0,27.0,1
