fen_idx,fen,time,score_avg,elo_est,diff_max,diff_avg,depth_avg,nodes_avg,%_same_move
1,r4rk1/p2q1ppp/1p2p3/3pn3/8/4N3/PPP1QPPP/R4RK1 w -,0.2,-170.0,1775,35,10.0,17.0,245884,90.0
1,r4rk1/p2q1ppp/1p2p3/3pn3/8/4N3/PPP1QPPP/R4RK1 w -,1.0,-159.0,2100,47,16.0,21.0,1098510,60.0
1,r4rk1/p2q1ppp/1p2p3/3pn3/8/4N3/PPP1QPPP/R4RK1 w -,3.0,-143,2600,24,7.0,26.0,3445898,100.0
1,r4rk1/p2q1ppp/1p2p3/3pn3/8/4N3/PPP1QPPP/R4RK1 w -,20.0,-146,2975,15,6.0,35.0,20941177,100.0
2,1r2k2r/p2nbppp/4p1B1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 b k,0.2,109.0,1850,14,4.0,18.0,245211,100.0
2,1r2k2r/p2nbppp/4p1B1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 b k,1.0,101.0,2300,34,10.0,23,1215279,100.0
2,1r2k2r/p2nbppp/4p1B1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 b k,3.0,92.0,2800,34,8.0,28.0,3412075,100.0
2,1r2k2r/p2nbppp/4p1B1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 b k,20.0,98.0,3000,23,6.0,36.0,21630053,100.0
3,1r2k2r/p2nb1pp/4p1p1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 w k,0.2,219.0,1700,40,10.0,16.0,233998,90.0
3,1r2k2r/p2nb1pp/4p1p1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 w k,1.0,226.0,2200,42,9.0,22.0,1170572,70.0
3,1r2k2r/p2nb1pp/4p1p1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 w k,3.0,217,2600,31,6.0,26.0,3268383,70.0
3,1r2k2r/p2nb1pp/4p1p1/2qpP1B1/8/5N2/PPP1QPPP/R4RK1 w k,20.0,225.0,2925,27,9.0,33.0,22216133,100.0
